,fi,en,,,NOTES – use \n for newline,max length
perk_exploding_corpses,Exploding Ruumiita,Exploding Corpses,,,doesn't need to be translated,
perkdesc_exploding_corpses,Vihollisia räjähtää kuoltuaan.,Enemies explode upon death.,,,doesn't need to be translated,
perk_saving_grace,Valopilkku,Saving Grace,,,doesn't need to be translated,
perkdesc_saving_grace,"Jos kuolisi ja yli 1 HP, HP on asetettu 1 sijaan.","If you would die and have more than 1 HP, your HP is set to 1 instead.",,,doesn't need to be translated,
perk_invisibility,näkymättömyys,Invisibility,,,doesn't need to be translated,
perkdesc_invisibility,"Olet näkymätön. Tahroja, loitsuja, potkiminen ja ottaen vahinko saa sinut tilapäisesti näkyväksi.","You're invisible. Stains, casting spells, kicking and taking damage makes you temporarily visible.",,,doesn't need to be translated,
perk_global_gore,enemmän verta,More Blood,,,doesn't need to be translated,
perkdesc_global_gore,Veri verta verta.,Blood blood blood.,,,doesn't need to be translated,
perk_no_damage_flash,Ei vaurioita Flash,No Damage Flash,,,doesn't need to be translated,
perkdesc_no_damage_flash,"Kipu on väistämätöntä, mutta vahinko salama on vapaaehtoista.","Pain is inevitable, but damage flash is optional.",,,doesn't need to be translated,
perk_reverse_slowdown,slicky Slime,Slicky Slime,,,,
perkdesc_reverse_slowdown,"Sen sijaan, että hidastamatta, liman voit edetä nopeammin.","Instead of slowing you down, slime allows you to move faster.",,,,
perk_extra_hp,Extra Health,Extra Health,,,,
perkdesc_extra_hp,Saat 50% ylimääräistä maksimi terveydelle.,You gain 50% extra maximum health.,,,,
perk_glass_cannon,lasi Cannon,Glass Cannon,,,,
perkdesc_glass_cannon,"Loitsuja käsitellä 5x vahinkoja ja ovat suurempia blast vaihtelee, mutta suurin terveys on rajattu 50.","Your spells deal 5x damage and have larger blast ranges, but your maximum health is capped to 50.",,,,
perk_respawn,Extra Life (kertaluonteiset),Extra Life (One-off),,,,
perkdesc_respawn,Kuoltuaan respawn 100 terveyttä.,Upon death you respawn with 100 health.,,,,
perk_protection_fire,palo Immunity,Fire Immunity,,,,
perkdesc_protection_fire,Otat mitään vahinkoa tulelta.,You take no damage from fire.,,,,
perk_protection_radioactivity,Myrkyllinen liete Immunity,Toxic Sludge Immunity,,,,
perkdesc_protection_radioactivity,Otat mitään vahinkoa myrkyllistä lietettä.,You take no damage from toxic sludge.,,,,
perk_protection_explosion,räjähdys Immunity,Explosion Immunity,,,,
perkdesc_protection_explosion,Otat mitään suoraa vahinkoa räjähdyksistä.,You take no direct damage from explosions.,,,,
perk_protection_melee,nujakka Immunity,Melee Immunity,,,,
perkdesc_protection_melee,Otat mitään vahinkoa lähietäisyydeltä vihollisen hyökkäyksiä.,You take no damage from close-range enemy attacks.,,,,
perk_protection_electricity,sähkö Immunity,Electricity Immunity,,,,
perkdesc_protection_electricity,Otat mitään vahinkoa sähköiskun.,You take no damage from electric shocks.,,,,
perk_teleportitis,Teleportitis,Teleportitis,,,,
perkdesc_teleportitis,"Otat 20% vähemmän vahinkoa. Te Teleport pois joka kerta, kun olet loukkaantunut.",You take 20% less damage. You teleport away every time you're hurt.,,,,
perk_stainless_armour,ruostumaton Armor,Stainless Armour,,,,
perkdesc_stainless_armour,Otat 50% vähemmän vahinkoa niin kauan kuin sinulla ei ole aktiivisia tahra asemaa vaikutus.,You take 50% less damage as long as you have no active stain status effect.,,,,
perk_edit_wands_everywhere,Korjailla sauvat Kaikkialla,Tinker With Wands Everywhere,,,,
perkdesc_edit_wands_everywhere,Jumalallinen siunaus voit korjailla wands kaikkialla.,A divine blessing allows you to tinker with wands everywhere.,,,,
perk_projectile_homing,itseohjautuva Shots,Homing Shots,,,,
perkdesc_projectile_homing,Loitsuja kotiin päin vihollisia hieman.,Your spells home towards enemies very slightly.,,,,
perk_freeze_field,Freeze Field,Freeze Field,,,,
perkdesc_freeze_field,Nesteitä jäädyttää olotila.,Liquids freeze in your presence.,,,,
perk_dissolve_powders,Liuota Jauheet,Dissolve Powders,,,,
perkdesc_dissolve_powders,"Hiekka ja muut pehmeät, jauhemaiset materiaalit liukenevat nopeasti olotila.","Sand and other soft, powdery materials dissolve quickly in your presence.",,,,
perk_bleed_slime,slime Veri,Slime Blood,,,,
perk_shield,pysyvä Shield,Permanent Shield,,,,
perkdesc_shield,"Saat pienen, pysyvä kilpi.","You gain a small, permanent shield.",,,,
perk_revenge_explosion,kosto Räjähdys,Revenge Explosion,,,,
perkdesc_revenge_explosion,"Kun otat vaurioita, päästät maaginen räjähdys, joka sattuu vihollisten ympärilläsi.","When you take damage, you release a magical explosion that hurts enemies around you.",,,,
perk_electricity,sähkö,Electricity,,,,
perkdesc_electricity,"Olet immuuni sähkö vaurioita, mutta metalli ja nesteet ympärilläsi sähköistää jatkuvasti. Varo!","You're immune to electric damage, but metal and liquids around you electrify constantly. Look out!",,,,
perk_mystery_eggplant,Mystery Munakoiso,Mystery Eggplant,,,,
perkdesc_mystery_eggplant,Se hajoaa helposti.,It breaks easily.,,,,
perk_double_hp,"Kaksinkertainen Health, nro Regeneration","Double Health, No Regeneration",,,,
perkdesc_double_hp,"Maksimisykkeesi HP kaksinkertaistuu, mutta otat 20% enemmän vahinkoa ammuksia.","Your maximum HP is doubled, but you take 20% more damage from projectiles.",,,,
perk_berserk,sekaisin,Berserk,,,,
perkdesc_berserk,"Mitä vähemmän HP olet, sitä enemmän vahingoittaa loitsuja käsitellä, jopa + 300% ylimääräistä vahinkoa.","The less HP you have, the more damage your spells deal, up to +300% extra damage.",,,,
perk_shuffle_wands,shuffle sauvat,Shuffle Wands,,,,
perkdesc_shuffle_wands,Kaikki sauvat korvataan satunnaisella sauvat suunnilleen samaa tehoa.,All your wands are replaced with random wands of approximately equal power.,,,,
perk_heavy_ammo,raskas Ammo,Heavy Ammo,,,,
perkdesc_heavy_ammo,Saat valikoima 2 voimakkaita loitsuja.,You gain a selection of 2 powerful spells.,,,,
perk_liquid_movement,konesteliikkeen,Liquid Movement,,,,
perkdesc_liquid_movement,Nesteet eivät vaikuta liikkumista lainkaan.,Liquids don't affect your movement at all.,,,,
perk_faster_swimming,nopeampi Uinti,Faster Swimming,,,,
perkdesc_faster_swimming,Uit nopeammin.,You swim faster.,,,,
perk_extra_shop_item,Extra alkion Holy Mountain,Extra Item In Holy Mountain,,,,
perkdesc_extra_shop_item,Tulee lisäksi kohta jokaisessa Holy Mountain et ole löytäneet vielä.,There will be an additional item in every Holy Mountain you haven't discovered yet.,,,,
perk_poison_burn,Burning Poison,Burning Poison,,,,
perkdesc_poison_burn,Teidän ammuksia on mahdollisuus sytyttää myrkytetty vihollisia.,Your projectiles have a chance to ignite poisoned enemies.,,,,
perk_low_gravity,Low Gravity,Low Gravity,,,,
perkdesc_low_gravity,Liikettä on floatier ja voit hypätä ja lentää korkeammalle.,Your movement is floatier and you can jump and fly higher.,,,,
perk_destruction_enhancement,Destruction Enhancement,Destruction Enhancement,,,,
perkdesc_destruction_enchancement,Voit tuhota ympäristöä tehokkaammin.,You can destroy the environment more effectively.,,,,
perk_damaging_aura,vahingoittaminen Aura,Damaging Aura,,,,
perkdesc_damaging_aura,"Loitsuja vahingoittaa lähellä olevia vihollisia, vaikka ne eivät osu niihin.",Your spells damage nearby enemies even if they don't hit them.,,,,
perk_thunder_kick,Thunder Kick,Thunder Kick,,,,
perkdesc_thunder_kick,"Potkuja heti tappaa useimmat viholliset, ja työnnä esineitä enemmän.","Your kicks instantly kill most foes, and push objects more.",,,,
perk_vision,parempi näkemys,Better Vision,,,,
perkdesc_vision,Näet enemmän pimeyteen.,You can see more into the darkness.,,,,
perk_telepathic_vision,telepaattinen Presence,Telepathic Presence,,,,
perkdesc_telepathic_vision,"Darkness ei enää ole, mutta viholliset aina tiedä, missä olet.","Darkness is no more, but enemies always know where you are.",,,,
perk_no_more_knockback,No More knockback,No More Knockback,,,,
perkdesc_no_more_knockback,Viholliset voi enää lyödä takaisin.,Enemies can no longer knock you back.,,,,
perk_knockback_control,Ohjattavat knockback,Controllable Knockback,,,,
perkdesc_knockback_control,Voit ohjata samalla tippuu takaisin.,You can steer while being knocked back.,,,,
perk_roll_again,Roll Jälleen,Roll Again,,,,
perkdesc_roll_again,Saat uusia etuisuuksia valita.,You get a new set of perks to choose from.,,,,
perk_reveal_secrets,paljasta Secrets,Reveal Secrets,,,,
perkdesc_reveal_secrets,"Arkkujen, sydämiä ja muita kohteita loistaa pimeydessä.","Chests, hearts and other items shine through darkness.",,,,
perk_potion_drop,Potion Drop,Potion Drop,,,,
perkdesc_potion_drop,Viholliset on mahdollisuus pudottamalla satunnainen taikajuoman jäsenen kuolemalla.,Enemies have a chance of dropping a random potion upon death.,,,,
perk_mystery_egg,Mystery Egg,Mystery Egg,,,,
perkdesc_mystery_egg,Jotain voi kuoriutua siitä!,Something may hatch from it!,,,,
perk_gold_no_disappear_while_seen,Golden I,Golden I,,,,
perkdesc_gold_no_disappear_while_seen,"Kulta ei katoa, kunhan se voidaan nähdä.",Gold doesn't disappear as long as it can be seen.,,,,
perk_mana_discount,manaa Alennus,Mana Discount,,,,
perkdesc_mana_discount,Kaikki loitsut maksavat 50% vähemmän manaa.,All spells cost 50% less mana.,,,,
perk_juggernaut,Juggernaut loitsut,Juggernaut Spells,,,,
perkdesc_juggernaut,"Oman ammukset käsitellä 30% enemmän vahinkoa, mutta on 30% hitaampi.","Your projectiles deal 30% more damage, but are 30% slower.",,,,
perk_big_potions,Big Potions,Big Potions,,,,
perkdesc_big_potions,Juoma löydät sisältävät kaksinkertainen neste.,Potions you find contain double the liquid.,,,,
perk_extra_charges,Ylimääräiset maksut,Extra Charges,,,,
perkdesc_extra_charges,Loitsuja kanssa rajoitettu käyttötavat voidaan käyttää kaksi kertaa niin monta kertaa.,Spells with limited uses can be used twice as many times.,,,,
perk_fast_projectiles,nopea Ammukset,Fast Projectiles,,,,
perkdesc_fast_projectiles,Kaikki ammukset lentävät kaksinkertaisella nopeudella.,All projectiles fly at double speed.,,,,
perk_deadly_environment,Deadly Ympäristö,Deadly Environment,,,,
perkdesc_deadly_environment,"Olennot ottavat lisääntynyt vahinkoa myrkkyä ja muut nesteet, tulta, ja enemmän.","Creatures take increased damage from poison and other liquids, fire, and more.",,,,
perk_cursed_power,Cursed Virta,Cursed Power,,,,
perkdesc_cursed_power,"Kaikki wands saada lisää vahinkoa, mutta tulevat uncustomizable.",All your wands gain extra damage but become uncustomizable.,,,,
perk_randomize_spells,Satunnainen loitsut,Randomize Spells,,,,
perkdesc_randomize_spells,Kaikki loitsuja oman selvityksen korvataan satunnainen oikeinkirjoituksen.,All spells in your inventory are replaced with a random spell.,,,,
perk_personal_raincloud,Henkilökohtainen sadepilvi,Personal Raincloud,,,,
perkdesc_personal_raincloud,"Keräät vettä, kun seisoo altaan, ja vapauta se, jos ampua pilvi, joka seuraa sinua.","You gather water when standing in a pool, and release it if you shoot at the cloud that follows you.",,,,
perk_helper_orb,Helper Orb,Helper Orb,,,,
perkdesc_helper_orb,ORB lentää lähelläsi ja hyökkäyksiä vihollisesi.,An orb flies near you and attacks your enemies.,,,,
perk_extra_wand_slot,Extra Wand Varastointi,Extra Wand Storage,,,,
perkdesc_extra_wand_slot,Voit kuljettaa yhden ylimääräisen sauva.,You can carry one extra wand.,,,,
perk_extra_potion_slot,Extra esineiden varastoinnin,Extra Item Storage,,,,
perkdesc_extra_potion_slot,Voit kuljettaa yhden esineen.,You can carry one extra item.,,,,
perk_extra_action_storage,Extra Spell Varastointi,Extra Spell Storage,,,,
perkdesc_extra_action_storage,Saat enemmän tilaa loitsuja,You gain more room for spells,,,,
perk_persuasion,suostuttelu,Persuasion,,,,
perkdesc_persuasion,Viholliset alhainen terveys voi alkaa taistelevat puolestasi.,Enemies with low health may start fighting for you.,,,,
perk_permanent_flying,Lattia Lava,Floor Is Lava,,,,
perkdesc_permanent_flying,"Voit lentää ikuisesti, mutta maassa seisovan käsittelee vahingoittuisi ajan.","You can fly forever, but standing on the ground deals you damage over time.",,,,
perk_melt,sulaminen Ruumiita,Melting Corpses,,,,
perkdesc_melt,Vihollisten ruumiita sulautuvat limaa.,Your enemies' corpses melt into slime.,,,,
perk_double_cast,kaksinkertainen Cast,Double Cast,,,,
perkdesc_double_cast,Omat sauvat valettu yksi ylimääräinen oikeinkirjoituksen käytettynä.,Your wands cast one extra spell when used.,,,,
perk_ability_actions_materialized,pommit Toteutuneet,Bombs Materialized,,,,
perkdesc_ability_actions_materialized,Pommi kaltainen jaksoja voidaan sijoittaa kohdetta Avaruuden varaston ja käyttää kuten heitettävä kohteita.,Bomb-like spells can be placed in the ITEMS space in inventory and used like throwable items.,,,,
mat_air,ilma,air,,,,
mat_fire,antaa potkut,fire,,,,
mat_spark,kipinä,spark,,,,
mat_spark_green,kipinä,spark,,,,
mat_spark_blue,kipinä,spark,,,,
mat_spark_red,kipinä,spark,,,,
mat_spark_white,kipinä,spark,,,,
mat_spark_yellow,kipinä,spark,,,,
mat_spark_purple,kipinä,spark,,,,
mat_spark_player,kipinä,spark,,,,
mat_spark_teal,kipinä,spark,,,,
mat_spark_electric,lankasahaukseen,electric spark,,,,
mat_flame,antaa potkut,fire,,,,
mat_sand_static,maa,ground,,,,
mat_sand_static_rainforest,rehevä maa,lush ground,,,,
mat_bone_static,luu seinään,bone wall,,,,
mat_rust_static,ruostunutta metallia,rusted metal,,,,
mat_sand_static_bright,graniitti ground,granite ground,,,,
mat_sand_static_red,ruosteinen maa,rusty ground,,,,
mat_nest_static,pesä,nest,,,,
mat_bluefungi_static,sininen sieni,blue fungus,,,,
mat_cheese_static,juusto,cheese,,,,
mat_rock_static,rock,rock,,,,
mat_rock_static_intro,rock,rock,,,,
mat_water_static,vesi,Water,,,,
mat_endslime_static,helvetti lima,hell slime,,,,
mat_slime_static,lima,slime,,,,
mat_rock_hard,tiheä kallio,dense rock,,,,
mat_rock_static_noedge,rock,rock,,,,
mat_rock_hard_border,erittäin tiivis kallio,extremely dense rock,,,,
mat_rock_magic_gate,maaginen portti,magic gate,,,,
mat_rock_magic_bottom,taika seinä,magic wall,,,,
mat_rock_eroding,murentaa kallio,eroding rock,,,,
mat_rock_vault,holvissa kallio,vault rock,,,,
mat_coal_static,kivihiili vein,coal vein,,,,
mat_rock_static_grey,harmaan kiven,grey rock,,,,
mat_rock_static_radioactive,myrkyllinen kallio,toxic rock,,,,
mat_rock_static_poison,myrkyllinen kallio,poisonous rock,,,,
mat_skullrock,helvetti kallio,hell rock,,,,
mat_rock_static_wet,kostea kallio,damp rock,,,,
mat_lavarock_static,vulkaanista kiveä,volcanic rock,,,,
mat_lava,laava,lava,,,,
mat_meteorite_static,meteoriitti,meteorite,,,,
mat_templerock_static,tiilimuuraus,brickwork,,,,
mat_templebrick_static,tiilimuuraus,brickwork,,,,
mat_templebrick_noedge_static,tiilimuuraus,brickwork,,,,
mat_templebrick_thick_static,tiilimuuraus,brickwork,,,,
mat_templebrickdark_static,tiilimuuraus,brickwork,,,,
mat_templeslab_static,tiilimuuraus,brickwork,,,,
mat_templeslab_crumbling_static,tiilimuuraus,brickwork,,,,
mat_glowstone,hehkuva kivi,glowing stone,,,,
mat_glowstone_altar,hehkuva kivi,glowing stone,,,,
mat_glowstone_potion,hehkuva kivi,glowing stone,,,,
mat_templebrick_red,tiilimuuraus,brickwork,,,,
mat_templebrick_moss_static,sammaleinen tiilestä,mossy brickwork,,,,
mat_the_end,helvetti kallio,hell rock,,,,
mat_steel_static,teräs,steel,,,,
mat_steelmoss_static,sammaleinen terästä,mossy steel,,,,
mat_steelmoss_slanted,sammaleinen terästä,mossy steel,,,,
mat_steelsmoke_static,tupakointi terästä,smoking steel,,,,
mat_steelpipe_static,metalliputkien,metal pipe,,,,
mat_steel_static_strong,tiheä terästä,dense steel,,,,
mat_steel_static_unmeltable,karkaistu teräs,hardened steel,,,,
mat_rock_static_glow,hehkuva asia,glowing matter,,,,
mat_snow_static,pakattu lumi,packed snow,,,,
mat_ice_static,jää,ice,,,,
mat_rock_static_intro_breakable,rock,rock,,,,
mat_ice_blood_static,jäädytetty veri,frozen blood,,,,
mat_ice_acid_static,jäädytetty happo,frozen acid,,,,
mat_ice_cold_static,jää,ice,,,,
mat_ice_radioactive_static,myrkyllinen jään,toxic ice,,,,
mat_ice_meteor_static,jää,ice,,,,
mat_tubematerial,neonputki,neon tube,,,,
mat_glass_static,lasi-,glass,,,,
mat_waterrock,rock,rock,,,,
mat_ice_glass,jää,ice,,,,
mat_tube_physics,neonputki,neon tube,,,,
mat_ice_acid_glass,jäädytetty happo,frozen acid,,,,
mat_ice_cold_glass,jää,ice,,,,
mat_ice_radioactive_glass,myrkyllinen jään,toxic ice,,,,
mat_ice_glass_b2,jää,ice,,,,
mat_glass_brittle,hauras lasi,brittle glass,,,,
mat_snowrock_static,jäädytetty kallio,frozen rock,,,,
mat_concrete_static,betoni,concrete,,,,
mat_wood_static,puu,wood,,,,
mat_wood_static_wet,kostea puu,damp wood,,,,
mat_creepy_liquid_emitter,tiiliseinä,brick wall,,,,
mat_gold_static,kulta vein,gold vein,,,,
mat_gold_static_dark,elinvoimainen kulta vein,vibrant gold vein,,,,
mat_wood_static_vertical,puu,wood,,,,
mat_wood_static_gas,paineistettu puu,pressurized wood,,,,
mat_corruption_static,vioittuneet kallio,corrupted rock,,,,
mat_smoke,savu,smoke,,,,
mat_smoke_explosion,savu,smoke,,,,
mat_steam,höyry,steam,,,,
mat_acid_gas,syttyvä kaasu,flammable gas,,,,
mat_acid_gas_static,syttyvä kaasu,flammable gas,,,,
mat_smoke_static,savu,smoke,,,,
mat_poison_gas,myrkky kaasu,poison gas,,,,
mat_fungal_gas,sieni kaasu,fungal gas,,,,
mat_blood_cold_vapour,jäädyttäminen höyry,freezing vapour,,,,
mat_sand_herb_vapour,outoja höyry,funky vapour,,,,
mat_radioactive_gas,myrkyllistä kaasua,toxic gas,,,,
mat_radioactive_gas_static,myrkyllistä kaasua,toxic gas,,,,
mat_water,vesi,Water,,,,
mat_water_fading,vesi,Water,,,,
mat_water_salt,suolavesi,brine,,,,
mat_water_temp,vesi,Water,,,,
mat_water_ice,kylmä vesi,chilly water,,,,
mat_water_swamp,suo,swamp,,,,
mat_oil,öljy,oil,,,,
mat_liquid_fire_weak,neste tulipalo,liquid fire,,,,
mat_alcohol,viski,whiskey,,,,
mat_midas_precursor,alchemic esiaste,alchemic precursor,,,,
mat_midas,luonnos Midas,draught of midas,,,,
mat_magic_liquid,gate-avaaja,gate-opener,,,,
mat_magic_liquid_teleportation,teleportatium,teleportatium,,,,
mat_magic_liquid_hp_regeneration,healthium,healthium,,,,
mat_magic_liquid_hp_regeneration_unstable,vilkas keitos,lively concoction,,,,
mat_magic_liquid_polymorph,polymorphine,polymorphine,,,,
mat_magic_liquid_random_polymorph,kaoottinen polymorphine,chaotic polymorphine,,,,
mat_magic_liquid_berserk,berserkium,berserkium,,,,
mat_magic_liquid_charm,feromoni,pheromone,,,,
mat_magic_liquid_invisibility,invisiblium,invisiblium,,,,
mat_cloud,pilvi,cloud,,,,
mat_cloud_radioactive,myrkyllinen sumu,toxic mist,,,,
mat_cloud_alcohol,alkoholi sumu,alcohol mist,,,,
mat_cloud_blood,veren sumu,blood mist,,,,
mat_cloud_slime,lima sumu,slime mist,,,,
mat_swamp,suo,swamp,,,,
mat_mud,muta,mud,,,,
mat_blood_fading_slow,sieni verta,fungal blood,,,,
mat_blood_worm,mato verta,worm blood,,,,
mat_blood_cold,jäädyttäminen neste,freezing liquid,,,,
mat_radioactive_liquid,myrkyllinen liete,toxic sludge,,,,
mat_radioactive_liquid_fading,myrkyllinen liete,toxic sludge,,,,
mat_plasma_fading,maaginen neste,magical liquid,,,,
mat_plasma_fading_green,maaginen neste,magical liquid,,,,
mat_plasma_fading_pink,maaginen neste,magical liquid,,,,
mat_gold_molten,sulaa kultaa,molten gold,,,,
mat_steel_static_molten,sulan teräksen,molten steel,,,,
mat_steelmoss_slanted_molten,sulan teräksen,molten steel,,,,
mat_steelmoss_static_molten,sulan teräksen,molten steel,,,,
mat_steelsmoke_static_molten,sulan teräksen,molten steel,,,,
mat_metal_molten,sula metalli,molten metal,,,,
mat_metal_rust_molten,sula metalli,molten metal,,,,
mat_metal_nohit_molten,sula metalli,molten metal,,,,
mat_aluminium_molten,sula alumiini,molten aluminium,,,,
mat_aluminium_robot_molten,sula alumiini,molten aluminium,,,,
mat_metal_prop_molten,sula metalli,molten metal,,,,
mat_steel_rust_molten,sulan teräksen,molten steel,,,,
mat_aluminium_oxide_molten,sula alumiini,molten aluminium,,,,
mat_wax_molten,sulaa vahaa,molten wax,,,,
mat_silver_molten,sula hopea,molten silver,,,,
mat_copper_molten,sulaa kuparia,molten copper,,,,
mat_brass_molten,sulan messinki,molten brass,,,,
mat_glass_molten,sulaa lasia,molten glass,,,,
mat_glass_broken_molten,sulaa lasia,molten glass,,,,
mat_steel_molten,sula metalli,molten metal,,,,
mat_creepy_liquid,kammottava neste,creepy liquid,,,,
mat_cement,sementti,cement,,,,
mat_sand,hiekka,sand,,,,
mat_sand_blue,sininen hiekka,blue sand,,,,
mat_lavasand,tulivuoren hiekkaan,volcanic sand,,,,
mat_bone,luun pöly,bone dust,,,,
mat_soil,maaperä,soil,,,,
mat_soil_dead,karu maaperä,barren soil,,,,
mat_sandstone,hiekkakivi,sandstone,,,,
mat_fungisoil,sieni maaperä,fungal soil,,,,
mat_honey,hunaja,honey,,,,
mat_pea_soup,hernekeitto,pea soup,,,,
mat_endslime,helvetti lima,hell slime,,,,
mat_endslime_blood,helvetti lima,hell slime,,,,
mat_explosion_dirt,lika,dirt,,,,
mat_vine,viiniköynnös,vine,,,,
mat_root,viiniköynnös,vine,,,,
mat_snow,lumi,snow,,,,
mat_rotten_meat,pilaantunut liha,rotten meat,,,,
mat_meat_slime_sand,limainen liha,slimy meat,,,,
mat_meat_slime_green,vihreä limainen liha,green slimy meat,,,,
mat_meat_slime_orange,limainen liha,slimy meat,,,,
mat_rotten_meat_radioactive,myrkyllinen liha,toxic meat,,,,
mat_meat_worm,mato liha,worm meat,,,,
mat_ice,jää,ice,,,,
mat_wax,vaha,wax,,,,
mat_gold,kulta-,gold,,,,
mat_gold_radioactive,myrkyllinen kulta,toxic gold,,,,
mat_copper,kupari-,copper,,,,
mat_silver,hopea,silver,,,,
mat_coal,kivihiili,coal,,,,
mat_brass,messinki,brass,,,,
mat_burning_powder,polttamalla jauhe,burning powder,,,,
mat_sodium_unstable,märkä natrium,wet sodium,,,,
mat_gunpowder,ruuti,gunpowder,,,,
mat_gunpowder_tnt,ruuti,gunpowder,,,,
mat_gunpowder_unstable,ruuti,gunpowder,,,,
mat_gunpowder_unstable_boss_limbs,limainen liha,slimy meat,,,,
mat_plastic_red,muovi-,plastic,,,,
mat_plastic_red_molten,sulaa muovia,molten plastic,,,,
mat_plastic_molten,sulaa muovia,molten plastic,,,,
mat_plastic_prop_molten,sulaa muovia,molten plastic,,,,
mat_grass,ruoho,grass,,,,
mat_moss,sammal,moss,,,,
mat_moss_rust,ruosteinen sammal,rusty moss,,,,
mat_fungi_green,sieni,fungus,,,,
mat_spore,siemen,seed,,,,
mat_plant_material_red,siemen,seed,,,,
mat_ceiling_plant_material,siemen,seed,,,,
mat_mushroom_seed,sieni-itiöiden,fungal spore,,,,
mat_plant_seed,siemenet,plant seed,,,,
mat_mushroom,sieni-itiöiden,fungal spore,,,,
mat_mushroom_giant_red,sieni-itiöiden,fungal spore,,,,
mat_mushroom_giant_blue,sieni-itiöiden,fungal spore,,,,
mat_bush_seed,ikivihreä siemen,evergreen seed,,,,
mat_acid,happo,acid,,,,
mat_wood_player_b2,puu,wood,,,,
mat_wood_player_b2_vertical,puu,wood,,,,
mat_wood,puu,wood,,,,
mat_fuse,pommi,bomb,,,,
mat_fuse_tnt,TNT,tnt,,,,
mat_fuse_holy,pyhä asia,holy matter,,,,
mat_templebrick_box2d,tiilimuuraus,brickwork,,,,
mat_wood_trailer,puu,wood,,,,
mat_wood_wall,puu,wood,,,,
mat_cactus,ruoho,grass,,,,
mat_grass_loose,sieni asia,fungal matter,,,,
mat_wood_prop,puu,wood,,,,
mat_wood_prop_durable,kova puu,tough wood,,,,
mat_nest_box2d,pesä,nest,,,,
mat_cocoon_box2d,koteloida,cocoon,,,,
mat_wood_loose,puu,wood,,,,
mat_rock_loose,rock,rock,,,,
mat_ice_ceiling,jää,ice,,,,
mat_brick,tiiliseinä,brick wall,,,,
mat_concrete_collapsed,romahtanut konkreettinen,collapsed concrete,,,,
mat_tnt,TNT,tnt,,,,
mat_trailer_text,teksti,text,,,,
mat_meteorite,meteoriitti,meteorite,,,,
mat_meteorite_crackable,meteoriitti,meteorite,,,,
mat_meteorite_green,vihreä meteoriitti,green meteorite,,,,
mat_steel,teräs,steel,,,,
mat_steel_rust,ruostunut teräs,rusted steel,,,,
mat_metal_rust_rust,ruostunutta metallia,rusted metal,,,,
mat_metal_rust_barrel_rust,ruostunutta metallia,rusted metal,,,,
mat_plastic,muovi-,plastic,,,,
mat_aluminium,alumiini,aluminium,,,,
mat_metal_prop,metalli-,metal,,,,
mat_metal,metalli-,metal,,,,
mat_rock_box2d_hard,rock,rock,,,,
mat_rock_box2d_nohit,rock,rock,,,,
mat_rock_box2d_nohit_hard,tiheä kallio,dense rock,,,,
mat_rock_static_box2d,rock,rock,,,,
mat_rock_box2d,rock,rock,,,,
mat_item_box2d,erä,item,,,,
mat_gem_box2d,helmi,gem,,,,
mat_potion_glass_box2d,lasi-,glass,,,,
mat_glass_box2d,lasi-,glass,,,,
mat_gem_box2d_pink,helmi,gem,,,,
mat_gem_box2d_red,helmi,gem,,,,
mat_gem_box2d_green,helmi,gem,,,,
mat_gem_box2d_orange,helmi,gem,,,,
mat_gold_box2d,kulta-,gold,,,,
mat_metal_nohit,metalli-,metal,,,,
mat_metal_rust,ruostunutta metallia,rusted metal,,,,
mat_metal_rust_barrel,ruostunutta metallia,rusted metal,,,,
mat_bone_box2d,luu,bone,,,,
mat_crystal,kristalli,crystal,,,,
mat_crystal_purple,lila kristalli,purple crystal,,,,
mat_crystal_magic,kristalli,crystal,,,,
mat_aluminium_oxide,alumiini,aluminium,,,,
mat_meat,liha,meat,,,,
mat_urine,virtsa,urine,,,,
mat_poo,uloste,excrement,,,,
mat_rocket_particles,savu,smoke,,,,
mat_ice_melting_perf_killer,jää,ice,,,,
mat_ice_b2,jää,ice,,,,
mat_glass,lasi-,glass,,,,
mat_neon_tube_purple,neonputki,neon tube,,,,
mat_neon_tube_cyan,neonputki,neon tube,,,,
mat_neon_tube_blood_red,neonputki,neon tube,,,,
mat_blood_thick,veri,blood,,,,
mat_snow_b2,lumi,snow,,,,
mat_diamond,timantti-,diamond,,,,
mat_meat_slime,limainen liha,slimy meat,,,,
mat_concrete_sand,betoni,concrete,,,,
mat_blood,veri,blood,,,,
mat_blood_fading,veri,blood,,,,
mat_gunpowder_explosive,ruuti,gunpowder,,,,
mat_fungi,sieni,fungus,,,,
mat_plant_material,kasvimateriaali,plant material,,,,
mat_wood_player,puu,wood,,,,
mat_wax_b2,vaha,wax,,,,
mat_physics_throw_material_part2,kuka tietää,who knows,,,,
mat_fire_blue,antaa potkut,fire,,,,
mat_gold_b2,kulta-,gold,,,,
mat_fungus_loose,sieni,fungus,,,,
mat_sodium,natrium,sodium,,,,
mat_sulphur,rikki,sulphur,,,,
mat_salt,suola,salt,,,,
mat_steel_sand,teräs,steel,,,,
mat_slime_green,lima,slime,,,,
mat_slime_pink,lima,slime,,,,
mat_soil_lush,maaperä,soil,,,,
mat_radioactive_liquid_yellow,myrkyllinen liete,toxic sludge,,,,
mat_liquid_fire,antaa potkut,fire,,,,
mat_smoke_magic,savu,smoke,,,,
mat_sand_herb,yrtti,herb,,,,
